Release Date,Number of Reviews,Plays,Playing,Wishlist
20150623,1200,13000,279,757
20161013,222,713,20,154
20071010,2000,28000,244,1100
20020401,115,297,19,142
20211019,1000,5400,557,2300
20091110,1000,14000,34,276
20091029,1700,13000,614,2300
20060706,239,1300,29,159
20050111,2300,14000,360,1200
20130205,309,3200,48,388
20130416,364,7100,17,112
20210514,581,2800,596,930
20110929,519,1400,72,701
20131023,130,2400,77,55
20190820,304,2100,71,180
20160405,632,8900,403,441
20200403,1300,8400,157,1600
20150311,780,7900,260,1400
20190823,186,646,15,163
20120207,99,1200,22,106
20110418,2900,29000,471,1200
20211102,751,4900,216,1300
20220930,8,26,1,12
20150623,1200,13000,279,757
20220901,122,796,71,372
20150528,509,6100,28,227
20170124,1800,13000,326,1300
20220121,216,1200,105,567
20110607,409,4400,21,343
20200928,653,14000,2700,280
20220729,1400,3900,795,2200
20140520,784,5600,172,692
20140311,815,6700,128,834
20190913,530,5700,356,681
20201112,914,5700,82,249
20200804,874,16000,654,271
20100715,246,848,23,212
20180615,867,25000,470,126
20011220,364,1300,37,424
20190528,1800,7700,661,3100
20120522,210,1100,45,206
20160331,599,4000,160,981
20040715,657,2000,200,916
20180320,354,5300,270,407
20210120,702,3300,242,1200
20070531,151,1100,16,76
20160802,714,5400,59,548
20180523,341,2300,41,397
20111018,55,1300,4,23
20201112,1600,9900,372,2800
20090609,225,4500,30,314
20091027,484,13000,1200,52
20050609,1200,2800,237,1300
19890602,857,6100,34,163
20140417,516,4000,644,779
20170906,507,8700,524,103
19970320,1900,9100,316,1700
20210917,737,7500,222,753
19960309,832,4400,133,858
20221212,56,195,4,38
19901001,312,1400,13,298
20160304,447,2500,91,503
20140901,124,14000,122,35
20150825,812,8000,85,585
20230208,372,1100,593,1400
20220118,170,2100,235,33
20220218,830,2700,561,2300
20110222,155,1300,6,91
20181213,890,3100,358,1600
20220427,592,3200,141,1300
20130813,135,1300,76,72
20100316,50,1000,14,54
20230126,38,167,47,54
20120713,170,492,30,219
20220708,197,647,119,782
20000707,1600,6800,350,1200
20120814,103,1200,89,70
20131121,1100,9600,93,432
20090226,84,199,73,174
20181207,2500,25000,1200,801
20130917,2100,30000,829,664
20040301,349,1800,43,221
20220616,868,2900,519,2300
20080131,1300,19000,51,250
20121030,527,3300,321,1200
20230215,19,59,2,22
