Release Date,Number of Reviews,Plays,Playing,Rating,Wishlist
20140913,545,10000,23,3.3,96
20050623,386,1000,33,4.1,477
20111110,1700,22000,589,3.7,1000
20040524,171,1500,16,3.3,92
20100514,702,6200,96,3.6,741
20180306,225,1700,92,3.7,160
19970620,506,2100,73,4.2,681
20170224,3000,21000,2400,4.4,2300
20081021,310,3200,22,3.6,271
19860221,1200,9300,132,3.2,463
20190910,647,4200,399,3.7,1000
20190926,325,3300,230,3.0,625
20141014,375,5300,100,2.9,238
19970131,2900,15000,1100,4.2,1500
20161220,345,2900,19,2.8,181
19921030,433,1300,146,3.3,455
20210720,285,4500,263,2.7,65
20180105,137,424,15,4.3,167
20110418,2900,29000,471,4.4,1200
20180525,1000,11000,216,3.5,1300
19981126,173,397,29,4.0,727
20020810,311,1100,97,4.2,435
20130304,896,15000,175,3.5,508
20140808,460,8400,46,2.9,166
20070215,439,4200,128,3.7,407
20190125,2500,15000,585,4.3,1900
20180125,2800,20000,1200,4.2,2000
20170725,827,17000,926,2.8,47
20190702,401,3000,192,4.6,267
20141111,373,2900,37,3.1,113
20101019,2000,16000,756,4.3,1400
20130409,191,1800,8,3.5,133
19990901,329,820,65,4.1,329
20040722,1300,6700,187,4.4,1500
20230224,230,408,159,4.2,513
20121009,1100,14000,268,3.9,866
20140726,1100,12000,258,4.3,682
19940319,2200,11000,309,4.3,907
20210914,897,4200,389,3.5,1900
19911121,1700,13000,360,4.1,911
20091210,949,6100,162,4.2,991
20171005,201,1100,48,3.9,201
20191121,357,1000,146,4.1,535
20210326,789,5700,1100,4.0,1300
20220318,607,1600,180,3.6,1400
20180523,1400,11000,786,4.3,1600
20160614,451,7100,520,3.0,196
20051117,273,3800,28,3.7,154
20221118,123,332,20,2.9,276
20230125,926,3000,866,4.3,2000
20180125,2800,20000,1200,4.2,2000
20210506,1800,9900,333,3.9,2800
20221028,690,1600,235,3.7,2200
20041121,614,9100,65,3.6,176
20210810,151,454,120,4.4,362
20210422,1500,6700,880,4.2,3700
20010723,786,6300,102,3.9,742
20220411,114,787,13,4.0,453
20151027,500,3500,31,2.5,257
20170922,783,14000,131,3.3,460
20141215,761,2900,143,4.3,1300
20221206,48,225,80,4.6,195
20221108,974,2900,491,3.6,1800
20210929,194,1800,159,3.6,473
19941018,839,6000,40,4.2,269
19950321,414,2300,41,3.2,146
20130924,92,2200,8,3.2,13
20161007,641,1400,162,4.2,714
20081021,483,2000,75,4.0,540
19950311,1900,9100,518,4.5,2200
20080410,1000,19000,88,3.9,168
20200319,1900,12000,738,4.2,2400
20160915,1800,16000,630,4.1,1700
19931210,1400,11000,203,4.0,514
20160129,21,14,22,4.6,69
19990430,340,5400,16,3.3,157
20140401,337,8400,22,2.4,125
20220830,416,753,39,4.0,376
20210819,526,4000,63,2.4,801
20070419,1400,8400,584,4.1,1500
20220616,868,2900,519,4.1,2300
20150614,172,5300,44,2.4,38
20160209,926,7800,99,3.7,1200
20011220,742,6800,78,3.7,248
20021226,428,3700,104,3.8,162
20070914,278,1900,22,3.5,208
20040920,255,4100,9,3.5,109
20130304,896,15000,175,3.5,508
19910623,1100,12000,60,3.1,243
19911121,1700,13000,360,4.1,911
20221129,84,294,74,3.5,209
20040309,267,1900,31,3.6,364
20171027,2900,25000,710,4.2,2000
20200924,420,2700,101,3.7,540
20220225,3900,17000,3800,4.5,4800
20161129,1100,11000,374,3.3,1100
20131108,133,1700,205,3.6,212
20071009,955,16000,505,3.9,158
20080418,643,8800,82,3.6,152
20170228,1200,13000,689,3.6,1400
20191210,2900,21000,3200,4.3,3600
20051115,584,5600,45,2.4,423
20121002,888,7800,189,2.5,552
20140318,650,9500,53,3.3,549
20160114,228,895,71,4.1,349
20220610,248,932,35,2.7,397
20010502,466,632,32,4.3,1100
19980121,1100,5500,54,4.2,597
20050111,2300,14000,360,4.3,1200
20131017,767,10000,46,3.8,833
20020322,1000,4000,93,4.3,470
20040318,939,4100,60,4.2,761
19981029,532,2400,72,4.1,493
20190920,1100,7600,387,3.9,2000
20150402,988,11000,443,3.5,994
20201209,1500,13000,1500,3.3,2900
20221207,98,244,104,4.5,279
20030502,317,1900,21,3.7,180
20160204,264,4800,45,3.5,134
20120623,776,7600,130,4.2,449
20211102,751,4900,216,3.6,1300
20210910,566,2300,126,3.6,1100
20070329,704,4400,92,4.5,274
19981119,1300,13000,322,4.0,892
20220505,492,1200,131,4.1,804
20060928,581,9300,52,3.6,170
20070306,69,939,18,3.7,13
20190904,279,1900,96,3.6,729
20210514,581,2800,596,4.5,930
20051026,52,785,2,2.5,28
20081116,232,3100,17,3.4,129
20140901,124,14000,122,3.5,35
20091103,712,6100,148,4.0,534
20190927,880,4700,748,4.2,1200
20100914,1200,11000,98,4.0,370
20220225,3900,17000,3800,4.5,4800
20211029,96,2300,14,2.5,22
20220121,216,1200,105,3.5,567
20030801,135,1600,23,3.5,69
20020606,399,2000,51,3.2,288
20170223,2900,18000,1100,4.3,3600
19911031,627,3700,45,3.7,271
20060320,725,8100,183,3.7,563
19971021,181,1600,4,2.5,109
20150312,2700,15000,1800,4.4,2000
20151201,424,7900,302,3.2,139
20100316,328,3700,49,3.5,224
20121030,527,3300,321,4.2,1200
19960623,2600,21000,463,4.1,775
20121030,707,12000,72,3.0,390
20150312,2700,15000,1800,4.4,2000
20121016,73,1600,2,2.9,23
20081127,378,2400,33,4.3,388
20170828,221,1300,241,4.1,548
20230216,103,73,45,3.2,246
20160803,376,4600,76,3.5,115
20220325,1600,5900,955,4.2,3100
20111101,1100,9900,133,3.8,480
20090310,283,1100,19,3.5,441
20150824,126,1000,7,3.7,233
20151012,159,3100,39,4.4,106
20071113,801,13000,118,2.9,496
20210611,906,3700,218,4.0,1700
20191210,2900,21000,3200,4.3,3600
20101019,2000,16000,756,4.3,1400
20220324,386,809,88,3.9,561
19991216,229,763,16,3.4,344
20190514,852,5400,202,3.7,1000
20160921,182,442,21,4.4,266
20051114,857,15000,36,3.8,159
20081120,295,2400,135,4.4,499
20110125,775,6000,97,4.0,716
20131008,433,5400,52,2.7,524
19870713,344,1900,29,2.9,213
20121120,208,2600,3,2.4,78
20010227,512,2800,60,3.7,492
20010924,2200,8600,282,4.5,2100
20130827,643,5900,1100,3.7,363
20111018,1600,16000,192,4.1,651
20060515,991,16000,108,3.5,287
19951121,1200,6600,115,4.2,455
20071206,1200,5600,280,4.0,1800
20020328,1300,12000,266,3.6,1000
20200220,257,871,59,3.7,949
20190730,1100,5400,91,4.1,1000
20020811,217,1900,65,3.8,178
20120126,469,2900,55,3.2,297
20100908,525,4700,86,3.5,407
20131226,368,3200,281,4.1,677
19951215,270,933,32,3.6,360
20210202,210,2500,261,3.6,276
20051018,1500,10000,134,4.4,1700
20100518,1500,13000,218,4.2,1600
20121129,275,1800,68,3.6,484
20101116,148,2000,23,3.3,54
20081117,488,8600,35,3.6,213
20140913,545,10000,23,3.3,96
20200313,365,1400,150,4.0,580
20040130,258,1900,135,4.0,471
20221004,491,6600,1100,2.7,171
20111114,628,8700,64,3.3,343
20220331,156,405,46,3.0,337
20051222,1200,9600,137,4.3,652
19820203,198,1600,1,3.6,38
20171201,1400,7400,453,3.9,1500
19961114,315,2300,12,2.3,73
20141118,558,8500,90,3.2,442
19981121,2200,17000,433,4.3,1400
20201112,880,4100,403,3.9,2100
20091117,1100,19000,279,3.9,358
20201028,173,1400,153,4.6,373
20200904,498,2800,176,4.1,607
20031111,436,2300,35,3.9,629
20111018,1600,16000,192,4.1,651
20191031,800,5600,313,3.8,1300
20040916,1200,16000,219,4.0,376
20150706,917,17000,564,3.4,113
20211019,1000,5400,557,4.1,2300
20030701,159,2600,14,4.3,73
20210114,229,1200,102,3.6,363
20131122,1300,10000,168,4.1,1100
19971016,572,663,100,4.4,1000
20170502,167,5200,110,2.6,16
20091020,484,9100,98,3.1,450
20220729,1400,3900,795,4.4,2200
20220729,1400,3900,795,4.4,2200
20190909,58,648,32,4.5,139
20220919,237,538,71,4.0,409
20100518,1500,13000,218,4.2,1600
20120615,1900,13000,1500,4.2,2200
20100331,168,2400,39,3.9,110
20111103,1000,12000,146,3.5,461
20221104,103,160,86,3.4,469
20061107,522,5300,37,3.5,307
20030425,609,3900,158,3.7,401
19960909,660,8700,58,3.5,288
20211102,751,4900,216,3.6,1300
20171201,1400,7400,453,3.9,1500
20221118,753,3400,868,3.5,750
19891101,688,9600,54,4.1,66
19960623,2600,21000,463,4.1,775
20151023,562,5600,97,3.0,417
20051116,248,1300,32,3.5,270
20180529,280,2200,134,3.2,309
20180123,712,7200,335,3.8,944
20211028,517,3800,128,3.7,453
20111024,509,4100,58,4.0,409
20151106,550,8200,78,3.1,185
20170630,654,7700,364,3.8,986
20070916,187,7300,426,3.1,90
20011220,446,4000,26,3.2,212
20201112,625,2700,141,3.6,671
20120419,1200,9500,287,3.8,814
20181012,248,3500,15,2.3,100
20061221,92,252,15,3.7,162
19981121,2200,17000,433,4.3,1400
20181207,2500,25000,1200,4.1,801
20141022,392,2200,72,3.8,449
20220825,337,750,228,3.1,1100
19881023,1600,14000,109,4.0,362
20101111,609,5100,44,3.4,342
20171026,540,4700,86,3.5,675
20060727,132,1800,2,3.5,69
20161028,1300,12000,163,4.1,656
20160915,1800,16000,630,4.1,1700
20050322,981,11000,158,3.6,896
19970131,2900,15000,1100,4.2,1500
20010924,2200,8600,282,4.5,2100
20130418,281,3400,59,3.7,133
20160126,651,5300,186,3.6,643
20110811,96,1200,8,2.9,39
20220927,97,248,24,2.9,212
20120626,123,2700,3,2.0,50
20210820,345,1800,257,4.2,621
20060119,394,727,33,3.8,770
19891101,688,9600,54,4.1,66
20090305,1000,10000,176,3.1,561
19990211,982,5100,182,3.6,715
20111101,941,11000,60,3.6,477
20221027,820,2200,419,4.2,2200
20150709,296,2500,52,2.3,244
20050420,703,2900,155,4.2,716
20021117,1400,6800,221,4.3,1200
20160209,926,7800,99,3.7,1200
20210827,604,1600,109,3.9,1400
20220630,398,2200,154,4.3,951
20230210,474,1400,766,3.5,1600
20220905,141,265,36,4.0,459
20140626,761,8500,135,4.0,1200
19921206,532,2300,78,3.8,460
20051105,131,1400,5,3.3,152
19960322,688,3400,41,3.7,323
20100619,830,3600,149,4.4,1200
20100918,814,9000,115,4.1,270
20120907,193,1900,14,3.8,191
20081204,249,676,87,4.2,588
20160114,592,3900,70,3.6,449
20221214,137,247,22,4.1,314
20221021,85,253,37,4.0,283
20201002,699,3200,293,3.8,1300
20150324,3400,17000,1100,4.5,3300
19990212,425,4800,19,3.6,227
20040729,93,1100,26,3.4,63
19850913,1500,18000,59,3.5,237
20210811,116,312,20,3.4,313
20200511,419,7500,59,3.3,445
20080204,330,3900,92,4.0,457
20220719,480,5600,341,2.8,216
20150614,172,5300,44,2.4,38
20190628,689,6600,114,3.7,459
20220616,868,2900,519,4.1,2300
20081107,504,4600,31,3.7,225
20221028,690,1600,235,3.7,2200
20070222,459,1800,69,4.0,497
20011219,90,514,14,4.5,81
20151109,1000,16000,407,3.1,752
20181206,576,4300,199,4.1,513
20010823,1200,10000,286,3.5,1100
20050714,247,874,24,4.3,231
20220316,891,3400,489,3.9,2600
20230127,501,1300,248,4.3,1900
19981217,433,1100,42,4.4,653
20121009,1100,14000,268,3.9,866
20180126,603,7800,258,3.7,325
